file_path,file_size,commits_count
frontend/src/html/pages/settings.html,62419,9
frontend/src/html/pages/test.html,15130,16
frontend/src/html/popups.html,39052,44
frontend/src/html/warnings.html,4313,1
frontend/src/index.html,2657,7
frontend/src/privacy-policy.html,22154,4
frontend/src/security-policy.html,9541,2
frontend/src/styles/404.scss,920,5
frontend/src/styles/about.scss,1838,11
frontend/src/styles/account.scss,12401,25
frontend/src/styles/ads.scss,1594,9
frontend/src/styles/animations.scss,1513,5
frontend/src/styles/banners.scss,1346,13
frontend/src/styles/buttons.scss,3133,6
frontend/src/styles/caret.scss,1326,7
frontend/src/styles/commandline.scss,2467,16
frontend/src/styles/core.scss,7964,67
frontend/src/styles/fontawesome-5.scss,1712,2
frontend/src/styles/fontawesome-6.scss,2069,2
frontend/src/styles/fonts.scss,5183,8
frontend/src/styles/footer.scss,2031,18
frontend/src/styles/index.scss,318,9
frontend/src/styles/inputs.scss,7354,25
frontend/src/styles/keymap.scss,10148,10
frontend/src/styles/leaderboards.scss,5419,14
frontend/src/styles/login.scss,965,7
frontend/src/styles/media-queries-blue.scss,4349,7
frontend/src/styles/media-queries-brown.scss,1281,4
frontend/src/styles/media-queries-green.scss,5797,6
frontend/src/styles/media-queries-orange.scss,382,3
frontend/src/styles/media-queries-purple.scss,5365,7
frontend/src/styles/media-queries-yellow.scss,1216,4
frontend/src/styles/media-queries.scss,22469,2
frontend/src/styles/monkey.scss,745,2
frontend/src/styles/nav.scss,6312,46
frontend/src/styles/notifications.scss,1530,9
frontend/src/styles/popups.scss,32782,113
frontend/src/styles/profile.scss,10889,27
frontend/src/styles/scroll.scss,478,2
frontend/src/styles/settings.scss,9088,34
frontend/src/styles/test.scss,24824,95
frontend/src/terms-of-service.html,20144,3
frontend/src/ts/account/all-time-stats.ts,1206,5
frontend/src/ts/account/mini-result-chart.ts,2399,8
frontend/src/ts/account/pb-tables.ts,4764,18
frontend/src/ts/account/result-filters.ts,27251,39
frontend/src/ts/ape/adapters/axios-adapter.ts,3580,10
frontend/src/ts/ape/endpoints/ape-keys.ts,970,6
frontend/src/ts/ape/endpoints/configs.ts,447,6
frontend/src/ts/ape/endpoints/configuration.ts,246,2
frontend/src/ts/ape/endpoints/index.ts,474,4
frontend/src/ts/ape/endpoints/leaderboards.ts,1357,10
frontend/src/ts/ape/endpoints/presets.ts,1099,5
frontend/src/ts/ape/endpoints/psas.ts,259,5
frontend/src/ts/ape/endpoints/public.ts,603,4
frontend/src/ts/ape/endpoints/quotes.ts,2240,6
frontend/src/ts/ape/endpoints/results.ts,912,8
frontend/src/ts/ape/endpoints/users.ts,7855,28
frontend/src/ts/ape/index.ts,835,5
frontend/src/ts/ape/server-configuration.ts,439,5
frontend/src/ts/ape/types/ape-keys.d.ts,348,2
frontend/src/ts/ape/types/ape.d.ts,1073,10
frontend/src/ts/ape/types/configs.d.ts,306,3
frontend/src/ts/ape/types/leaderboards.d.ts,608,2
frontend/src/ts/ape/types/presets.d.ts,332,1
frontend/src/ts/ape/types/quotes.d.ts,964,2
frontend/src/ts/ape/types/results.d.ts,306,1
frontend/src/ts/ape/types/users.d.ts,471,1
frontend/src/ts/ape/utils.ts,1516,6
frontend/src/ts/commandline/commandline.ts,18114,23
frontend/src/ts/commandline/lists.ts,19169,12
frontend/src/ts/commandline/lists/add-or-remove-theme-to-favorites.ts,1027,1
frontend/src/ts/commandline/lists/always-show-decimal.ts,774,1
frontend/src/ts/commandline/lists/background-filter.ts,2373,4
frontend/src/ts/commandline/lists/background-size.ts,1046,1
frontend/src/ts/commandline/lists/bail-out.ts,1710,6
frontend/src/ts/commandline/lists/blind-mode.ts,674,1
frontend/src/ts/commandline/lists/british-english.ts,823,1
frontend/src/ts/commandline/lists/caps-lock-warning.ts,723,1
frontend/src/ts/commandline/lists/caret-style.ts,1665,1
frontend/src/ts/commandline/lists/colorful-mode.ts,698,1
frontend/src/ts/commandline/lists/confidence-mode.ts,968,1
frontend/src/ts/commandline/lists/custom-theme.ts,682,2
frontend/src/ts/commandline/lists/custom-themes-list.ts,1393,11
frontend/src/ts/commandline/lists/difficulty.ts,884,1
frontend/src/ts/commandline/lists/enable-ads.ts,990,2
frontend/src/ts/commandline/lists/flip-test-colors.ts,713,1
frontend/src/ts/commandline/lists/font-family.ts,1316,5
frontend/src/ts/commandline/lists/font-size.ts,455,5
frontend/src/ts/commandline/lists/freedom-mode.ts,692,2
frontend/src/ts/commandline/lists/funbox.ts,1777,4
frontend/src/ts/commandline/lists/hide-extra-letters.ts,732,1
frontend/src/ts/commandline/lists/highlight-mode.ts,1543,2
frontend/src/ts/commandline/lists/indicate-typos.ts,911,1
frontend/src/ts/commandline/lists/key-tips.ts,661,1
frontend/src/ts/commandline/lists/keymap-layouts.ts,1367,4
frontend/src/ts/commandline/lists/keymap-legend-style.ts,1204,1
frontend/src/ts/commandline/lists/keymap-mode.ts,1088,1
frontend/src/ts/commandline/lists/keymap-show-top-row.ts,974,1
frontend/src/ts/commandline/lists/keymap-style.ts,1701,2
frontend/src/ts/commandline/lists/languages.ts,928,4
frontend/src/ts/commandline/lists/layouts.ts,1271,2
frontend/src/ts/commandline/lists/lazy-mode.ts,772,1
